window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label
1743838502369 ,1743838525158 ,0.26831317,9.363246,3.7457721,1.3828576,1.1774833,1.2685701,0.017082343,0.105505526,0.037625138,0.15200475,0.2414898,0.28985342,1
1743838525158 ,1743838525175 ,0.26831317,9.363246,3.7457721,1.3828576,1.1774833,1.2685701,0.014021997,0.10366688,0.024272023,0.15712185,0.23999791,0.28855717,1
1743838525175 ,1743838525195 ,0.26831317,9.363246,3.7457721,1.3828576,1.1774833,1.2685701,0.022195136,0.093343586,0.015420842,0.16394757,0.23465747,0.28884962,1
1743838525195 ,1743838525214 ,0.28954947,9.330877,3.6902764,1.3981714,1.134932,1.3176075,0.022195136,0.093343586,0.015420842,0.16394757,0.23465747,0.28884962,1
1743838525214 ,1743838525234 ,0.28954947,9.330877,3.6902764,1.3981714,1.134932,1.3176075,0.022634942,0.08827355,0.001450761,0.1637228,0.23357151,0.2872776,1
1743838525234 ,1743838525253 ,0.28954947,9.330877,3.6902764,1.3981714,1.134932,1.3176075,0.0185667,0.084651224,-0.011633587,0.16436058,0.23053016,0.29386643,1
1743838525253 ,1743838525273 ,0.28954947,9.330877,3.6902764,1.3981714,1.134932,1.3176075,0.022915933,0.07203722,-0.017448843,0.16600384,0.22732443,0.29352865,1
1743838525273 ,1743838525292 ,0.33568305,9.389513,3.6230984,1.4277407,1.2068132,1.4059103,0.022915933,0.07203722,-0.017448843,0.16600384,0.22732443,0.29352865,1
1743838525292 ,1743838525313 ,0.33568305,9.389513,3.6230984,1.4277407,1.2068132,1.4059103,0.011816839,0.07002753,-0.027985953,0.17944974,0.22596101,0.298776,1
1743838525313 ,1743838525332 ,0.33568305,9.389513,3.6230984,1.4277407,1.2068132,1.4059103,0.012171132,0.068836376,-0.03742966,0.17953594,0.22531177,0.30460468,1
1743838525332 ,1743838525352 ,0.31746772,9.415112,3.5576727,1.426673,1.219451,1.4242524,0.012171132,0.068836376,-0.03742966,0.17953594,0.22531177,0.30460468,1
1743838525352 ,1743838525371 ,0.31746772,9.415112,3.5576727,1.426673,1.219451,1.4242524,0.005384619,0.0651774,-0.036751617,0.17899239,0.22663906,0.3046653,1
1743838525371 ,1743838525391 ,0.3041577,9.377735,3.5782151,1.4347194,1.2275822,1.4396019,0.005384619,0.0651774,-0.036751617,0.17899239,0.22663906,0.3046653,1
