window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label
1744869425870,1744869450199,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,-0.0023059484,0.049280103,0.02616869,0.18720439,0.11670895,0.14010778,1.0
1744869450199,1744869450219,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,-7.971543E-4,0.044527717,0.019595973,0.18515454,0.117085434,0.13918662,1.0
1744869450219,1744869450237,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,-2.2295892E-4,0.041937724,0.012668964,0.18516868,0.1186245,0.14048505,1.0
1744869450237,1744869450260,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,3.8177907E-4,0.042133193,0.0034207357,0.18531573,0.118452065,0.1372785,1.0
1744869450260,1744869450275,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.0023487073,0.03661725,-0.0035551363,0.18588792,0.12437925,0.13467401,1.0
1744869450275,1744869450295,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,-6.3833414E-4,0.034320462,-0.011551125,0.18779248,0.12401709,0.13470611,1.0
1744869450295,1744869450316,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.004504998,0.025518147,-0.019260023,0.1898881,0.12976325,0.13368076,1.0
1744869450316,1744869450335,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.0029229051,0.018291825,-0.025625058,0.19044563,0.13126779,0.13039035,1.0
1744869450335,1744869450355,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.0029351218,0.016227162,-0.03605832,0.19044152,0.13149941,0.12558565,1.0
1744869450355,1744869450374,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.0027946287,0.008805368,-0.040884014,0.1903673,0.13737111,0.123443626,1.0
1744869450374,1744869450395,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.0077791424,0.0017439732,-0.04636331,0.18747388,0.13715145,0.12068336,1.0
1744869450395,1744869450413,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.005854972,-9.1932085E-4,-0.05411496,0.1863248,0.13855053,0.11878532,1.0
1744869450413,1744869450433,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.004480565,-0.007101095,-0.059068933,0.18760945,0.13591754,0.11635571,1.0
1744869450433,1744869450453,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.009202415,-0.014125837,-0.06468873,0.19069237,0.14113702,0.11230832,1.0
1744869450453,1744869450473,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.009190199,-0.018145211,-0.069789305,0.19069344,0.1433543,0.109019175,1.0
1744869450473,1744869450492,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.013246224,-0.026556578,-0.07323448,0.18823841,0.13867348,0.11045614,1.0
1744869450492,1744869450511,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.01178019,-0.031919815,-0.07868936,0.18933587,0.14100477,0.10779644,1.0
1744869450511,1744869450532,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.008310579,-0.032616183,-0.084284715,0.18881261,0.14104867,0.10407315,1.0
1744869450532,1744869450552,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.023862747,-0.042768463,-0.0880964,0.19110264,0.1485926,0.09894432,1.0
1744869450552,1744869450570,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.01529867,-0.044582687,-0.09033821,0.19223341,0.14825007,0.09791752,1.0
1744869450570,1744869450593,-0.39172307,9.831217,1.4626606,0.8131135,1.4456054,1.7063212,0.018291822,-0.052596994,-0.0955243,0.19073556,0.1424856,0.09684775,1.0
