window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label,interval_ms,long_interval
1744004926594,1744005263704,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,-0.009330691,0.12959737,0.17644016,0.29478386,0.27346358,0.28998953,1,337110,True
1744005263704,1744005263721,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,0.008035698,0.12309183,0.17023395,0.30521303,0.27413246,0.30056107,1,17,False
1744005263721,1744005263741,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,-0.002916794,0.12584065,0.16534108,0.30559233,0.2732075,0.3082204,1,20,False
1744005263741,1744005263761,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,0.001133124,0.13347623,0.14722793,0.307765,0.26694262,0.3382827,1,20,False
1744005263761,1744005263780,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,-5.19e-05,0.13412984,0.13925484,0.30768916,0.26661366,0.3524472,1,19,False
1744005263780,1744005263799,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,0.008835907,0.1341665,0.1290766,0.30182254,0.26659855,0.3696978,1,19,False
1744005263799,1744005263819,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,0.01113269,0.13493004,0.116027355,0.30519825,0.26571268,0.39163873,1,20,False
1744005263819,1744005263838,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,0.006245916,0.13653658,0.10276433,0.30575135,0.2635602,0.4087062,1,19,False
1744005263838,1744005263859,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,0.014901618,0.13125885,0.087674886,0.30095944,0.26570675,0.4349295,1,21,False
1744005263859,1744005263877,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,0.011126582,0.13062356,0.07773487,0.29972082,0.26644304,0.44917098,1,18,False
1744005263877,1744005263897,-0.42310488,8.608587,4.9152827,1.3376883,1.8921295,2.2258446,0.021773651,0.12483274,0.06260875,0.30203253,0.27493194,0.46239984,1,20,False
